Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"LT","LARSEN AND TOUBRO LTD","Industrie","Aktien","70.239.219,82","0,31","70.239.219,82","1.547.204,00","45,40","Indien","National Stock Exchange Of India","INR"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Aktien","69.609.613,00","0,30","69.609.613,00","10.879.902,00","6,40","Irland","London Stock Exchange","USD"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Aktien","68.569.896,51","0,30","68.569.896,51","10.483.007,00","6,54","Brasilien","XBSP","BRL"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energie","Aktien","67.895.308,64","0,30","67.895.308,64","10.285.409,00","6,60","Brasilien","XBSP","BRL"
"9961","TRIP.COM GROUP LTD","Zyklische Konsumgüter ","Aktien","66.357.541,66","0,29","66.357.541,66","1.354.652,00","48,98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005380","HYUNDAI MOTOR","Zyklische Konsumgüter ","Aktien","63.348.118,04","0,28","63.348.118,04","336.137,00","188,46","Korea","Korea Exchange (Stock Market)","KRW"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Aktien","63.095.709,64","0,28","63.095.709,64","695.415,00","90,73","Indien","National Stock Exchange Of India","INR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Aktien","62.832.560,16","0,27","62.832.560,16","2.757.132,00","22,79","Indien","National Stock Exchange Of India","INR"
"9888","BAIDU CLASS A INC","Kommunikation","Aktien","62.153.378,14","0,27","62.153.378,14","5.666.286,00","10,97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1180","THE SAUDI NATIONAL BANK","Financials","Aktien","61.729.521,78","0,27","61.729.521,78","6.580.595,00","9,38","Saudi-Arabien","Saudi Stock Exchange","SAR"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Aktien","60.589.974,17","0,26","60.589.974,17","170.779.183,00","0,35","Indonesien","Indonesia Stock Exchange","IDR"
"KFH","KUWAIT FINANCE HOUSE","Financials","Aktien","60.039.616,19","0,26","60.039.616,19","25.301.225,00","2,37","Kuwait","Kuwait Stock Exchange","KWD"
"105560","KB FINANCIAL GROUP INC","Financials","Aktien","59.683.053,87","0,26","59.683.053,87","948.932,00","62,89","Korea","Korea Exchange (Stock Market)","KRW"
"FSR","FIRSTRAND LTD","Financials","Aktien","59.493.444,86","0,26","59.493.444,86","12.291.802,00","4,84","Südafrika","Johannesburg Stock Exchange","ZAR"
"2308","DELTA ELECTRONICS INC","IT","Aktien","58.429.227,31","0,26","58.429.227,31","4.826.073,00","12,11","Taiwan","Taiwan Stock Exchange","TWD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energie","Aktien","58.247.170,74","0,25","58.247.170,74","8.059.237,00","7,23","Brasilien","XBSP","BRL"
"068270","CELLTRION INC","Gesundheitsversorgung","Aktien","57.565.451,40","0,25","57.565.451,40","379.732,00","151,59","Korea","Korea Exchange (Stock Market)","KRW"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Aktien","57.308.832,60","0,25","57.308.832,60","20.174.855,00","2,84","Taiwan","Taiwan Stock Exchange","TWD"
"ZOMATO","ZOMATO LTD","Zyklische Konsumgüter ","Aktien","57.025.512,92","0,25","57.025.512,92","16.405.023,00","3,48","Indien","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Aktien","56.700.599,41","0,25","56.700.599,41","19.680.720,00","2,88","Kuwait","Kuwait Stock Exchange","KWD"
"TATAMOTORS","TATA MOTORS LTD","Zyklische Konsumgüter ","Aktien","56.509.036,57","0,25","56.509.036,57","4.864.291,00","11,62","Indien","National Stock Exchange Of India","INR"
"NTPC","NTPC LTD","Versorger","Aktien","54.859.058,42","0,24","54.859.058,42","10.814.028,00","5,07","Indien","National Stock Exchange Of India","INR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Gesundheitsversorgung","Aktien","54.232.021,29","0,24","54.232.021,29","2.429.160,00","22,33","Indien","National Stock Exchange Of India","INR"
"2382","QUANTA COMPUTER INC","IT","Aktien","53.675.504,46","0,23","53.675.504,46","6.795.000,00","7,90","Taiwan","Taiwan Stock Exchange","TWD"
"QNBK","QATAR NATIONAL BANK","Financials","Aktien","52.425.108,27","0,23","52.425.108,27","11.361.894,00","4,61","Qatar","Qatar Exchange","QAR"
"7010","SAUDI TELECOM","Kommunikation","Aktien","51.780.291,61","0,23","51.780.291,61","4.451.385,00","11,63","Saudi-Arabien","Saudi Stock Exchange","SAR"
"005490","POSCO","Materialien","Aktien","50.564.061,09","0,22","50.564.061,09","179.226,00","282,12","Korea","Korea Exchange (Stock Market)","KRW"
"HCLTECH","HCL TECHNOLOGIES LTD","IT","Aktien","49.573.317,09","0,22","49.573.317,09","2.353.839,00","21,06","Indien","National Stock Exchange Of India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Aktien","48.257.883,02","0,21","48.257.883,02","23.841.781,00","2,02","Taiwan","Taiwan Stock Exchange","TWD"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Versorger","Aktien","47.905.709,46","0,21","47.905.709,46","11.745.669,00","4,08","Indien","National Stock Exchange Of India","INR"
