Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TATACHEM","TATA CHEMICALS LTD","Materialien","Aktien","5.170.005,73","0,02","5.170.005,73","421.235,00","12,27","Indien","National Stock Exchange Of India","INR"
"UNOMINDA","UNO MINDA LTD","Zyklische Konsumgüter ","Aktien","5.160.480,30","0,02","5.160.480,30","383.091,00","13,47","Indien","National Stock Exchange Of India","INR"
"360ONE","360 ONE WAM LTD","Financials","Aktien","5.155.017,68","0,02","5.155.017,68","395.509,00","13,03","Indien","National Stock Exchange Of India","INR"
"MCX","MULTI COMMODITY EXCHANGE OF INDIA","Financials","Aktien","5.154.728,52","0,02","5.154.728,52","74.220,00","69,45","Indien","National Stock Exchange Of India","INR"
"UNIONBANK","UNION BANK OF INDIA LTD","Financials","Aktien","5.153.485,13","0,02","5.153.485,13","3.489.266,00","1,48","Indien","National Stock Exchange Of India","INR"
"036570","NCSOFT CORP","Kommunikation","Aktien","5.135.840,81","0,02","5.135.840,81","37.324,00","137,60","Korea","Korea Exchange (Stock Market)","KRW"
"APARINDS","APAR INDUSTRIES LTD","Industrie","Aktien","5.131.150,07","0,02","5.131.150,07","45.532,00","112,69","Indien","National Stock Exchange Of India","INR"
"3023","SINBON ELECTRONICS LTD","IT","Aktien","5.125.247,77","0,02","5.125.247,77","555.351,00","9,23","Taiwan","Taiwan Stock Exchange","TWD"
"CENTURYTEX","CENTURY TEXTILES AND INDUSTRIES LT","Materialien","Aktien","5.119.702,18","0,02","5.119.702,18","154.116,00","33,22","Indien","National Stock Exchange Of India","INR"
"916","CHINA LONGYUAN POWER GROUP CORP LT","Versorger","Aktien","5.113.816,81","0,02","5.113.816,81","7.165.000,00","0,71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PHNX","PHOENIX MILLS LTD","Immobilien","Aktien","5.113.453,29","0,02","5.113.453,29","231.737,00","22,07","Indien","National Stock Exchange Of India","INR"
"PHOENIXLTD","PHOENIX MILLS LTD","Immobilien","Aktien","5.113.453,29","0,02","5.113.453,29","231.737,00","22,07","Indien","National Stock Exchange Of India","INR"
"CYIENT","CYIENT LTD","IT","Aktien","5.100.320,04","0,02","5.100.320,04","207.344,00","24,60","Indien","National Stock Exchange Of India","INR"
"005070","COSMOAM&T LTD","IT","Aktien","5.097.866,39","0,02","5.097.866,39","62.510,00","81,55","Korea","Korea Exchange (Stock Market)","KRW"
"9688","ZAI LAB LTD","Gesundheitsversorgung","Aktien","5.078.879,25","0,02","5.078.879,25","2.403.720,00","2,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GBK","GULF BANK","Financials","Aktien","5.069.503,34","0,02","5.069.503,34","5.021.771,00","1,01","Kuwait","Kuwait Stock Exchange","KWD"
"902","HUANENG POWER INTERNATIONAL INC H","Versorger","Aktien","5.062.685,57","0,02","5.062.685,57","9.258.000,00","0,55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SUVENPHAR","SUVEN PHARMACEUTICALS LTD","Gesundheitsversorgung","Aktien","5.049.061,79","0,02","5.049.061,79","347.201,00","14,54","Indien","National Stock Exchange Of India","INR"
"JKCEMENT","J.K. CEMENT LTD","Materialien","Aktien","5.037.391,50","0,02","5.037.391,50","90.871,00","55,43","Indien","National Stock Exchange Of India","INR"
"601328","BANK OF COMMUNICATIONS LTD A","Financials","Aktien","5.035.534,15","0,02","5.035.534,15","5.388.289,00","0,93","China","Shanghai Stock Exchange","CNY"
"1336","NEW CHINA LIFE INSURANCE COMPANY L","Financials","Aktien","5.032.028,39","0,02","5.032.028,39","2.316.800,00","2,17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"010620","HD HYUNDAI MIPO LTD","Industrie","Aktien","5.015.988,72","0,02","5.015.988,72","62.958,00","79,67","Korea","Korea Exchange (Stock Market)","KRW"
"4300","DAR AL ARKAN REAL ESTATE DEVELOPME","Immobilien","Aktien","5.013.356,93","0,02","5.013.356,93","1.237.656,00","4,05","Saudi-Arabien","Saudi Stock Exchange","SAR"
"HMPRO.R","HOME PRODUCT CENTER NON-VOTING DR","Zyklische Konsumgüter ","Aktien","5.013.346,78","0,02","5.013.346,78","15.935.453,00","0,31","Thailand","Stock Exchange Of Thailand","THB"
"SAVOLA","SAVOLA GROUP SAR1","Nichtzyklische Konsumgüter","Aktien","5.010.640,97","0,02","5.010.640,97","651.722,00","7,69","Saudi-Arabien","NO MARKET (E.G. UNLISTED)","SAR"
"DIALOG","DIALOG GROUP","Energie","Aktien","5.010.075,72","0,02","5.010.075,72","9.798.776,00","0,51","Malaysia","Bursa Malaysia","MYR"
"1513","CHUNG-HSIN ELECTRIC & MACHINERY MF","Industrie","Aktien","4.985.828,25","0,02","4.985.828,25","932.000,00","5,35","Taiwan","Taiwan Stock Exchange","TWD"
"600406","NARI TECHNOLOGY LTD A","Industrie","Aktien","4.980.396,96","0,02","4.980.396,96","1.364.414,00","3,65","China","Shanghai Stock Exchange","CNY"
"MCG","MULTICHOICE GROUP LTD","Kommunikation","Aktien","4.973.963,59","0,02","4.973.963,59","817.785,00","6,08","Südafrika","Johannesburg Stock Exchange","ZAR"
"6223","MPI CORP","IT","Aktien","4.967.996,25","0,02","4.967.996,25","199.000,00","24,96","Taiwan","Gretai Securities Market","TWD"
"RADICO","RADICO KHAITAN LTD","Nichtzyklische Konsumgüter","Aktien","4.948.656,43","0,02","4.948.656,43","194.179,00","25,49","Indien","National Stock Exchange Of India","INR"
"2542","HIGHWEALTH CONSTRUCTION CORP","Immobilien","Aktien","4.938.042,31","0,02","4.938.042,31","3.208.222,00","1,54","Taiwan","Taiwan Stock Exchange","TWD"
"NTCO3","NATURA CO HOLDING SA","Nichtzyklische Konsumgüter","Aktien","4.931.467,00","0,02","4.931.467,00","1.987.421,00","2,48","Brasilien","XBSP","BRL"
"3036","WT MICROELECTRONICS LTD","IT","Aktien","4.932.614,30","0,02","4.932.614,30","1.494.512,00","3,30","Taiwan","Taiwan Stock Exchange","TWD"
"042660","HANWHA OCEAN LTD","Industrie","Aktien","4.930.190,72","0,02","4.930.190,72","200.098,00","24,64","Korea","Korea Exchange (Stock Market)","KRW"
"AIRARABIA","AIR ARABIA","Industrie","Aktien","4.924.630,93","0,02","4.924.630,93","6.699.322,00","0,74","Ver. Arabische Emirate","Dubai Financial Market","AED"
"4190","JARIR MARKETING","Zyklische Konsumgüter ","Aktien","4.907.952,03","0,02","4.907.952,03","1.405.866,00","3,49","Saudi-Arabien","Saudi Stock Exchange","SAR"
"000333","MIDEA GROUP LTD A","Zyklische Konsumgüter ","Aktien","4.903.221,78","0,02","4.903.221,78","523.400,00","9,37","China","Shenzhen Stock Exchange","CNY"
"TITC","TITAN CEMENT SA","Materialien","Aktien","4.898.862,83","0,02","4.898.862,83","133.223,00","36,77","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"6176","RADIANT OPTO-ELECTRONICS CORP","IT","Aktien","4.893.352,10","0,02","4.893.352,10","832.000,00","5,88","Taiwan","Taiwan Stock Exchange","TWD"
"600028","CHINA PETROLEUM & CHEMICAL CORP A","Energie","Aktien","4.879.420,44","0,02","4.879.420,44","5.393.098,00","0,90","China","Shanghai Stock Exchange","CNY"
"LAURUSLABS","LAURUS LABS LTD","Gesundheitsversorgung","Aktien","4.877.246,13","0,02","4.877.246,13","872.140,00","5,59","Indien","National Stock Exchange Of India","INR"
"968","XINYI SOLAR HOLDINGS LTD","IT","Aktien","4.874.216,80","0,02","4.874.216,80","12.828.000,00","0,38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"FROTO.E","FORD OTOMOTIV SANAYI A","Zyklische Konsumgüter ","Aktien","4.873.076,91","0,02","4.873.076,91","181.874,00","26,79","Türkei","Istanbul Stock Exchange","TRY"
"MDKA","MERDEKA COPPER GOLD","Materialien","Aktien","4.855.600,45","0,02","4.855.600,45","32.549.711,00","0,15","Indonesien","Indonesia Stock Exchange","IDR"
"BIOCON","BIOCON LTD","Gesundheitsversorgung","Aktien","4.849.486,24","0,02","4.849.486,24","1.109.278,00","4,37","Indien","National Stock Exchange Of India","INR"
"NATCOPHARM","NATCO PHARMA LTD","Gesundheitsversorgung","Aktien","4.849.612,18","0,02","4.849.612,18","273.638,00","17,72","Indien","National Stock Exchange Of India","INR"
"DUBK","DUKHAN BANK","Financials","Aktien","4.847.301,97","0,02","4.847.301,97","4.620.164,00","1,05","Qatar","Qatar Exchange","QAR"
"2615","WAN HAI LINES LTD","Industrie","Aktien","4.845.969,20","0,02","4.845.969,20","1.910.005,00","2,54","Taiwan","Taiwan Stock Exchange","TWD"
"097950","CJ CHEILJEDANG CORP","Nichtzyklische Konsumgüter","Aktien","4.841.108,94","0,02","4.841.108,94","20.724,00","233,60","Korea","Korea Exchange (Stock Market)","KRW"
"ALOS3","ALLOS SA","Immobilien","Aktien","4.828.446,31","0,02","4.828.446,31","1.186.696,00","4,07","Brasilien","XBSP","BRL"
"601088","CHINA SHENHUA ENERGY LTD A","Energie","Aktien","4.824.668,32","0,02","4.824.668,32","883.685,00","5,46","China","Shanghai Stock Exchange","CNY"
"2352","QISDA CORP","IT","Aktien","4.824.328,17","0,02","4.824.328,17","4.151.000,00","1,16","Taiwan","Taiwan Stock Exchange","TWD"
"270","GUANGDONG INVESTMENT LTD","Versorger","Aktien","4.813.278,31","0,02","4.813.278,31","8.012.000,00","0,60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"13","HUTCHMED (CHINA) LTD","Gesundheitsversorgung","Aktien","4.808.284,31","0,02","4.808.284,31","1.377.105,00","3,49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AVI","AVI LTD","Nichtzyklische Konsumgüter","Aktien","4.793.859,65","0,02","4.793.859,65","779.030,00","6,15","Südafrika","Johannesburg Stock Exchange","ZAR"
"BEM.R","BANGKOK EXPRESSWAY AND METRO PCL N","Industrie","Aktien","4.787.496,21","0,02","4.787.496,21","19.782.832,00","0,24","Thailand","Stock Exchange Of Thailand","THB"
"ICBP","INDOFOOD CBP SUKSES MAKMUR","Nichtzyklische Konsumgüter","Aktien","4.787.247,52","0,02","4.787.247,52","6.043.900,00","0,79","Indonesien","Indonesia Stock Exchange","IDR"
"MANKIND","MANKIND PHARMA LTD","Gesundheitsversorgung","Aktien","4.785.542,33","0,02","4.785.542,33","157.717,00","30,34","Indien","National Stock Exchange Of India","INR"
"2270","SAUDI DAIRY AND FOODSTUFF","Nichtzyklische Konsumgüter","Aktien","4.784.243,89","0,02","4.784.243,89","47.645,00","100,41","Saudi-Arabien","Saudi Stock Exchange","SAR"
"CRC.R","CENTRAL RETAIL CORPORATION PCL NON","Zyklische Konsumgüter ","Aktien","4.783.797,97","0,02","4.783.797,97","4.720.609,00","1,01","Thailand","Stock Exchange Of Thailand","THB"
"MABANEE","MABANEE COMPANY","Immobilien","Aktien","4.783.018,67","0,02","4.783.018,67","1.735.195,00","2,76","Kuwait","Kuwait Stock Exchange","KWD"
"PTTGC.R","PTT GLOBAL CHEMICAL NON-VOTING DR","Materialien","Aktien","4.770.439,39","0,02","4.770.439,39","5.632.100,00","0,85","Thailand","Stock Exchange Of Thailand","THB"
"1212","ASTRA INDUSTRIAL GROUP","Industrie","Aktien","4.714.932,06","0,02","4.714.932,06","104.938,00","44,93","Saudi-Arabien","Saudi Stock Exchange","SAR"
"010950","S-OIL CORP","Energie","Aktien","4.693.245,86","0,02","4.693.245,86","102.603,00","45,74","Korea","Korea Exchange (Stock Market)","KRW"
"2359","WUXI APPTEC LTD H","Gesundheitsversorgung","Aktien","4.692.198,80","0,02","4.692.198,80","860.069,00","5,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MTELEKOM","MAGYAR TELEKOM","Kommunikation","Aktien","4.688.153,54","0,02","4.688.153,54","1.622.168,00","2,89","Ungarn","Budapest Stock Exchange","HUF"
"BANPU.R","BANPU NON-VOTING DR PCL","Energie","Aktien","4.655.061,92","0,02","4.655.061,92","20.795.231,00","0,22","Thailand","Stock Exchange Of Thailand","THB"
"2610","CHINA AIRLINES LTD","Industrie","Aktien","4.653.815,11","0,02","4.653.815,11","6.984.000,00","0,67","Taiwan","Taiwan Stock Exchange","TWD"
"2250","SAUDI INDUSTRIAL INVESTMENT GROUP","Materialien","Aktien","4.649.875,67","0,02","4.649.875,67","911.621,00","5,10","Saudi-Arabien","Saudi Stock Exchange","SAR"
"MER","MANILA ELECTRIC","Versorger","Aktien","4.648.069,14","0,02","4.648.069,14","620.690,00","7,49","Philippinen","Philippine Stock Exchange Inc.","PHP"
"009830","HANWHA SOLUTIONS CORP","Materialien","Aktien","4.640.519,49","0,02","4.640.519,49","265.298,00","17,49","Korea","Korea Exchange (Stock Market)","KRW"
"2230","SAUDI CHEMICAL","Gesundheitsversorgung","Aktien","4.629.776,25","0,02","4.629.776,25","1.526.626,00","3,03","Saudi-Arabien","Saudi Stock Exchange","SAR"
"TM","TELEKOM MALAYSIA","Kommunikation","Aktien","4.628.400,48","0,02","4.628.400,48","2.887.600,00","1,60","Malaysia","Bursa Malaysia","MYR"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Financials","Aktien","4.621.806,97","0,02","4.621.806,97","1.933.814,00","2,39","Mexiko","Bolsa Mexicana De Valores","MXN"
"QAR","QAR CASH","Cash und/oder Derivate","Geldmarkt","4.608.362,12","0,02","4.608.362,12","16.779.046,00","27,46","Qatar","-","QAR"
"DEEPAKNTR","DEEPAK NITRITE LTD","Materialien","Aktien","4.606.984,16","0,02","4.606.984,16","135.371,00","34,03","Indien","National Stock Exchange Of India","INR"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Aktien","4.602.101,97","0,02","4.602.101,97","3.639.702,00","1,26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"144","CHINA MERCHANTS PORT HOLDINGS LTD","Industrie","Aktien","4.595.615,49","0,02","4.595.615,49","2.934.470,00","1,57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2368","GOLD CIRCUIT ELECTRONICS LTD","IT","Aktien","4.589.493,20","0,02","4.589.493,20","720.900,00","6,37","Taiwan","Taiwan Stock Exchange","TWD"
"AMR","AMERICANA RESTAURANTS INTERNATIONA","Zyklische Konsumgüter ","Aktien","4.587.638,16","0,02","4.587.638,16","6.505.944,00","0,71","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"TOP.R","THAI OIL NON-VOTING DR PCL","Energie","Aktien","4.589.360,66","0,02","4.589.360,66","3.019.160,00","1,52","Thailand","Stock Exchange Of Thailand","THB"
"1504","TECO ELECTRIC & MACHINERY LTD","Industrie","Aktien","4.580.455,19","0,02","4.580.455,19","2.985.000,00","1,53","Taiwan","Taiwan Stock Exchange","TWD"
"URC","UNIVERSAL ROBINA CORP","Nichtzyklische Konsumgüter","Aktien","4.578.509,47","0,02","4.578.509,47","2.524.300,00","1,81","Philippinen","Philippine Stock Exchange Inc.","PHP"
"6881","CHINA GALAXY SECURITIES LTD H","Financials","Aktien","4.559.796,67","0,02","4.559.796,67","8.358.000,00","0,55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"128940","HANMI PHARM LTD","Gesundheitsversorgung","Aktien","4.540.147,46","0,02","4.540.147,46","18.177,00","249,77","Korea","Korea Exchange (Stock Market)","KRW"
"TERRA13","TERRAFINA DE CV REIT SA","Immobilien","Aktien","4.528.724,91","0,02","4.528.724,91","2.226.000,00","2,03","Mexiko","Bolsa Mexicana De Valores","MXN"
"6770","POWERCHIP SEMICONDUCTOR MANUFACTUR","IT","Aktien","4.525.959,64","0,02","4.525.959,64","6.989.000,00","0,65","Taiwan","Taiwan Stock Exchange","TWD"
"2354","FOXCONN TECHNOLOGY LTD","IT","Aktien","4.503.378,54","0,02","4.503.378,54","2.214.623,00","2,03","Taiwan","Taiwan Stock Exchange","TWD"
"9921","GIANT MANUFACTURING LTD","Zyklische Konsumgüter ","Aktien","4.503.718,35","0,02","4.503.718,35","634.191,00","7,10","Taiwan","Taiwan Stock Exchange","TWD"
"KPIL","KALPATARU PROJECTS INTERNATIONAL L","Industrie","Aktien","4.499.196,93","0,02","4.499.196,93","281.638,00","15,98","Indien","National Stock Exchange Of India","INR"
"PAYTM","ONE COMMUNICATIONS LTD","Financials","Aktien","4.499.498,78","0,02","4.499.498,78","566.219,00","7,95","Indien","National Stock Exchange Of India","INR"
"3035","FARADAY TECHNOLOGY CORP","IT","Aktien","4.494.866,64","0,02","4.494.866,64","550.492,00","8,17","Taiwan","Taiwan Stock Exchange","TWD"
"PLN","PLN CASH","Cash und/oder Derivate","Geldmarkt","4.491.678,48","0,02","4.491.678,48","17.219.299,00","26,09","Polen","-","PLN"
"EMAMILTD","EMAMI LTD","Nichtzyklische Konsumgüter","Aktien","4.485.408,24","0,02","4.485.408,24","501.436,00","8,95","Indien","National Stock Exchange Of India","INR"
"MOTILALOFS","MOTILAL OSWAL FINANCIAL SERVICES L","Financials","Aktien","4.481.814,91","0,02","4.481.814,91","473.632,00","9,46","Indien","National Stock Exchange Of India","INR"
"010120","LS ELECTRIC LTD","Industrie","Aktien","4.478.048,30","0,02","4.478.048,30","38.878,00","115,18","Korea","Korea Exchange (Stock Market)","KRW"
"2050","SAVOLA GROUP","Nichtzyklische Konsumgüter","Aktien","4.472.413,12","0,02","4.472.413,12","581.716,00","7,69","Saudi-Arabien","Saudi Stock Exchange","SAR"
"000720","HYUNDAI ENGINEERING & CONSTRUCTION","Industrie","Aktien","4.466.002,11","0,02","4.466.002,11","191.800,00","23,28","Korea","Korea Exchange (Stock Market)","KRW"
"1044","HENGAN INTERNATIONAL GROUP LTD","Nichtzyklische Konsumgüter","Aktien","4.451.159,48","0,02","4.451.159,48","1.548.000,00","2,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2059","KING SLIDE WORKS LTD","IT","Aktien","4.446.425,78","0,02","4.446.425,78","122.000,00","36,45","Taiwan","Taiwan Stock Exchange","TWD"
"SISE.E","TURKIYE SISE VE CAM FABRIKALARI A","Industrie","Aktien","4.429.496,33","0,02","4.429.496,33","3.580.597,00","1,24","Türkei","Istanbul Stock Exchange","TRY"
"MIL","BANK MILLENNIUM SA","Financials","Aktien","4.424.883,29","0,02","4.424.883,29","1.923.269,00","2,30","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"AJANTPHARM","AJANTA PHARMA LTD","Gesundheitsversorgung","Aktien","4.415.691,67","0,02","4.415.691,67","117.842,00","37,47","Indien","National Stock Exchange Of India","INR"
"NESTLE","NESTLE MALAYSIA","Nichtzyklische Konsumgüter","Aktien","4.415.771,70","0,02","4.415.771,70","182.400,00","24,21","Malaysia","Bursa Malaysia","MYR"
"601225","SHAANXI COAL INDUSTRY LTD A","Energie","Aktien","4.409.423,74","0,02","4.409.423,74","1.323.700,00","3,33","China","Shanghai Stock Exchange","CNY"
"2588","BOC AVIATION LTD","Industrie","Aktien","4.406.497,60","0,02","4.406.497,60","530.151,00","8,31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2027","TA CHEN STAINLESS PIPE LTD","Materialien","Aktien","4.404.061,40","0,02","4.404.061,40","4.110.243,00","1,07","Taiwan","Taiwan Stock Exchange","TWD"
"358","JIANGXI COPPER LTD H","Materialien","Aktien","4.390.685,67","0,02","4.390.685,67","2.611.000,00","1,68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ACP","ASSECO POLAND SA","IT","Aktien","4.385.007,13","0,02","4.385.007,13","195.129,00","22,47","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Aktien","4.380.334,17","0,02","4.380.334,17","1.742.846,00","2,51","Indien","National Stock Exchange Of India","INR"
"257","CHINA EVERBRIGHT ENVIRONMENT GROUP","Industrie","Aktien","4.379.889,17","0,02","4.379.889,17","9.477.776,00","0,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HYPE3","HYPERMARCAS SA","Gesundheitsversorgung","Aktien","4.380.045,71","0,02","4.380.045,71","880.981,00","4,97","Brasilien","XBSP","BRL"
"002714","MUYUAN FOODS LTD A","Nichtzyklische Konsumgüter","Aktien","4.373.675,56","0,02","4.373.675,56","858.381,00","5,10","China","Shenzhen Stock Exchange","CNY"
"601601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Aktien","4.365.710,71","0,02","4.365.710,71","1.016.693,00","4,29","China","Shanghai Stock Exchange","CNY"
"141080","LIGA CHEM BIO INC","Gesundheitsversorgung","Aktien","4.362.441,54","0,02","4.362.441,54","55.277,00","78,92","Korea","Korea Exchange (Kosdaq)","KRW"
"KAYNES","KAYNES TECHNOLOGY INDIA LTD","IT","Aktien","4.359.842,33","0,02","4.359.842,33","66.496,00","65,57","Indien","National Stock Exchange Of India","INR"
"2015","FENG HSIN IRON & STEEL LTD","Materialien","Aktien","4.356.227,12","0,02","4.356.227,12","1.644.000,00","2,65","Taiwan","Taiwan Stock Exchange","TWD"
"7202","ARABIAN INTERNET AND COMMUNICATION","IT","Aktien","4.346.340,39","0,02","4.346.340,39","59.307,00","73,29","Saudi-Arabien","Saudi Stock Exchange","SAR"
"601668","CHINA STATE CONSTRUCTION ENGINEERI","Industrie","Aktien","4.324.624,71","0,02","4.324.624,71","6.210.945,00","0,70","China","Shanghai Stock Exchange","CNY"
"OFSS","ORACLE FINANCIAL SERVICES SOFTWARE","IT","Aktien","4.325.855,26","0,02","4.325.855,26","31.791,00","136,07","Indien","National Stock Exchange Of India","INR"
"5434","TOPCO SCIENTIFIC LTD","IT","Aktien","4.320.674,05","0,02","4.320.674,05","489.753,00","8,82","Taiwan","Taiwan Stock Exchange","TWD"
"CMPC","EMPRESAS CMPC SA","Materialien","Aktien","4.318.491,74","0,02","4.318.491,74","2.688.225,00","1,61","Chile","Santiago Stock Exchange","CLP"
"066970","L&F LTD","Industrie","Aktien","4.311.035,06","0,02","4.311.035,06","63.811,00","67,56","Korea","Korea Exchange (Stock Market)","KRW"
"IDFC","IDFC LTD","Financials","Aktien","4.304.508,11","0,02","4.304.508,11","3.280.118,00","1,31","Indien","National Stock Exchange Of India","INR"
"GESHIP","GREAT EASTERN SHIPPING COMPANY LTD","Energie","Aktien","4.296.270,83","0,02","4.296.270,83","293.407,00","14,64","Indien","National Stock Exchange Of India","INR"
"2915","RUENTEX INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","4.293.616,69","0,02","4.293.616,69","1.755.057,00","2,45","Taiwan","Taiwan Stock Exchange","TWD"
"600809","SHANXI XINGHUACUN FEN WINE FACTORY","Nichtzyklische Konsumgüter","Aktien","4.291.577,44","0,02","4.291.577,44","196.218,00","21,87","China","Shanghai Stock Exchange","CNY"
"241560","DOOSAN BOBCAT INC","Industrie","Aktien","4.279.937,14","0,02","4.279.937,14","133.699,00","32,01","Korea","Korea Exchange (Stock Market)","KRW"
"2633","TAIWAN HIGH SPEED RAIL CORP","Industrie","Aktien","4.266.998,28","0,02","4.266.998,28","4.577.000,00","0,93","Taiwan","Taiwan Stock Exchange","TWD"
"FLUOROCHEM","GUJARAT FLUOROCHEMICALS LTD","Materialien","Aktien","4.261.373,01","0,02","4.261.373,01","83.983,00","50,74","Indien","National Stock Exchange Of India","INR"
"GENM","GENTING MALAYSIA","Zyklische Konsumgüter ","Aktien","4.246.091,80","0,02","4.246.091,80","7.565.600,00","0,56","Malaysia","Bursa Malaysia","MYR"
"ASAI3","SENDAS DISTRIBUIDORA SA","Nichtzyklische Konsumgüter","Aktien","4.246.013,82","0,02","4.246.013,82","3.029.007,00","1,40","Brasilien","XBSP","BRL"
"CESC","CESC LTD","Versorger","Aktien","4.237.481,69","0,02","4.237.481,69","1.900.242,00","2,23","Indien","National Stock Exchange Of India","INR"
"2380","CHINA POWER INTERNATIONAL DEVELOPM","Versorger","Aktien","4.232.433,27","0,02","4.232.433,27","9.669.000,00","0,44","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000250","SAM CHUN DANG PHARM LTD","Gesundheitsversorgung","Aktien","4.229.196,73","0,02","4.229.196,73","40.413,00","104,65","Korea","Korea Exchange (Kosdaq)","KRW"
"1929","CHOW TAI FOOK JEWELLERY GROUP LTD","Zyklische Konsumgüter ","Aktien","4.215.842,31","0,02","4.215.842,31","5.139.600,00","0,82","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3MINDIA","3M INDIA LTD","Industrie","Aktien","4.210.894,90","0,02","4.210.894,90","10.101,00","416,88","Indien","National Stock Exchange Of India","INR"
"3998","BOSIDENG INTERNATIONAL LTD","Zyklische Konsumgüter ","Aktien","4.209.870,16","0,02","4.209.870,16","8.816.000,00","0,48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CAMS","COMPUTER AGE MANAGEMENT SERVICES L","Industrie","Aktien","4.204.222,25","0,02","4.204.222,25","78.785,00","53,36","Indien","National Stock Exchange Of India","INR"
"PGE","PGE POLSKA GRUPA ENERGETYCZNA SA","Versorger","Aktien","4.203.474,65","0,02","4.203.474,65","2.273.482,00","1,85","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"RDF","REDEFINE PROPERTIES LTD","Immobilien","Aktien","4.198.286,11","0,02","4.198.286,11","14.971.892,00","0,28","Südafrika","Johannesburg Stock Exchange","ZAR"
"JBCHEPHARM","J.B. CHEMICALS AND PHARMACEUTICALS","Gesundheitsversorgung","Aktien","4.190.263,23","0,02","4.190.263,23","184.574,00","22,70","Indien","National Stock Exchange Of India","INR"
"390","CHINA RAILWAY GROUP LTD H","Industrie","Aktien","4.188.263,38","0,02","4.188.263,38","10.196.000,00","0,41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3131","GRAND PLASTIC TECHNOLOGY CORP","IT","Aktien","4.187.705,30","0,02","4.187.705,30","69.000,00","60,69","Taiwan","Gretai Securities Market","TWD"
"AXIATA","AXIATA GROUP","Kommunikation","Aktien","4.182.439,36","0,02","4.182.439,36","7.034.863,00","0,59","Malaysia","Bursa Malaysia","MYR"
"WHA.R","WHA CORPORATION NON-VOTING DR PCL","Immobilien","Aktien","4.183.843,30","0,02","4.183.843,30","25.146.800,00","0,17","Thailand","Stock Exchange Of Thailand","THB"
"006800","DAEWOO SECURITIES","Financials","Aktien","4.171.173,19","0,02","4.171.173,19","643.940,00","6,48","Korea","Korea Exchange (Stock Market)","KRW"
"PGSUS.E","PEGASUS HAVA TASIMACILIGI A","Industrie","Aktien","4.147.447,37","0,02","4.147.447,37","558.657,00","7,42","Türkei","Istanbul Stock Exchange","TRY"
"KAJARIACER","KAJARIA CERAMICS LTD","Industrie","Aktien","4.139.232,49","0,02","4.139.232,49","230.106,00","17,99","Indien","National Stock Exchange Of India","INR"
"QFLS","QATAR FUEL","Energie","Aktien","4.136.532,10","0,02","4.136.532,10","1.009.458,00","4,10","Qatar","Qatar Exchange","QAR"
"BRES","BARWA REAL ESTATE","Immobilien","Aktien","4.129.877,30","0,02","4.129.877,30","5.351.204,00","0,77","Qatar","Qatar Exchange","QAR"
"OR.R","PTT OIL AND RETAIL BUSINESS PCL NO","Zyklische Konsumgüter ","Aktien","4.121.437,50","0,02","4.121.437,50","7.875.400,00","0,52","Thailand","Stock Exchange Of Thailand","THB"
"000001","PING AN BANK LTD A","Financials","Aktien","4.110.347,91","0,02","4.110.347,91","2.927.751,00","1,40","China","Shenzhen Stock Exchange","CNY"
"011780","KUMHO PETRO CHEMICAL LTD","Materialien","Aktien","4.107.780,62","0,02","4.107.780,62","40.930,00","100,36","Korea","Korea Exchange (Stock Market)","KRW"
"006260","LS CORP","Industrie","Aktien","4.092.680,71","0,02","4.092.680,71","50.092,00","81,70","Korea","Korea Exchange (Stock Market)","KRW"
