Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"LRCX","LAM RESEARCH CORP","IT","Aktien","57.761.158,95","0,55","57.761.158,95","74.705,00","773,19","Vereinigte Staaten","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","54.344.933,30","0,51","54.344.933,30","691.045,00","78,64","Kanada","Toronto Stock Exchange","CAD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","53.123.048,16","0,50","53.123.048,16","2.432.374,00","21,84","Vereinigte Staaten","NASDAQ","USD"
"REL","RELX PLC","Industrie","Aktien","52.204.366,59","0,49","52.204.366,59","1.085.885,00","48,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABBN","ABB LTD","Industrie","Aktien","51.959.293,46","0,49","51.959.293,46","919.779,00","56,49","Schweiz","SIX Swiss Exchange","CHF"
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","51.121.647,36","0,48","51.121.647,36","265.374,00","192,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","50.916.816,79","0,48","50.916.816,79","85.135,00","598,07","Schweiz","SIX Swiss Exchange","CHF"
"TT","TRANE TECHNOLOGIES PLC","Industrie","Aktien","50.672.955,06","0,48","50.672.955,06","131.642,00","384,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9434","SOFTBANK CORP","Kommunikation","Aktien","49.973.840,14","0,47","49.973.840,14","3.643.600,00","13,72","Japan","Tokyo Stock Exchange","JPY"
"1299","AIA GROUP LTD","Financials","Aktien","48.317.407,24","0,46","48.317.407,24","6.461.800,00","7,48","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"MCO","MOODYS CORP","Financials","Aktien","47.278.118,82","0,45","47.278.118,82","95.577,00","494,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HCA","HCA HEALTHCARE INC","Gesundheitsversorgung","Aktien","46.229.167,72","0,44","46.229.167,72","114.242,00","404,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Aktien","46.034.731,19","0,44","46.034.731,19","729.700,00","63,09","Japan","Tokyo Stock Exchange","JPY"
"WMB","WILLIAMS INC","Energie","Aktien","45.340.655,54","0,43","45.340.655,54","999.133,00","45,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSX","PHILLIPS","Energie","Aktien","45.177.442,03","0,43","45.177.442,03","347.599,00","129,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energie","Aktien","44.962.107,81","0,43","44.962.107,81","478.473,00","93,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EA","ELECTRONIC ARTS INC","Kommunikation","Aktien","44.948.915,45","0,43","44.948.915,45","322.099,00","139,55","Vereinigte Staaten","NASDAQ","USD"
"ITW","ILLINOIS TOOL INC","Industrie","Aktien","44.136.218,72","0,42","44.136.218,72","173.546,00","254,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Immobilien","Aktien","43.560.888,72","0,41","43.560.888,72","347.736,00","125,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","43.136.376,48","0,41","43.136.376,48","231.468,00","186,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CS","AXA SA","Financials","Aktien","42.663.644,25","0,40","42.663.644,25","1.056.204,00","40,39","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","42.257.724,26","0,40","42.257.724,26","77.791,00","543,22","Deutschland","Xetra","EUR"
"USB","US BANCORP","Financials","Aktien","41.755.271,26","0,40","41.755.271,26","907.526,00","46,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Aktien","39.778.845,16","0,38","39.778.845,16","1.092.500,00","36,41","Japan","Tokyo Stock Exchange","JPY"
"BNS","BANK OF NOVA SCOTIA","Financials","Aktien","38.401.889,88","0,36","38.401.889,88","710.736,00","54,03","Kanada","Toronto Stock Exchange","CAD"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","38.033.343,32","0,36","38.033.343,32","17.685,00","2.150,61","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CARR","CARRIER GLOBAL CORP","Industrie","Aktien","37.652.709,60","0,36","37.652.709,60","471.130,00","79,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ECL","ECOLAB INC","Materialien","Aktien","37.584.496,88","0,36","37.584.496,88","149.477,00","251,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRH","CRH PUBLIC LIMITED PLC","Materialien","Aktien","37.118.565,33","0,35","37.118.565,33","399.597,00","92,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aktien","37.065.843,78","0,35","37.065.843,78","316.729,00","117,03","Kanada","Toronto Stock Exchange","CAD"
"MRVL","MARVELL TECHNOLOGY INC","IT","Aktien","36.535.141,69","0,35","36.535.141,69","494.587,00","73,87","Vereinigte Staaten","NASDAQ","USD"
"NEM","NEWMONT","Materialien","Aktien","36.517.886,34","0,35","36.517.886,34","670.422,00","54,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VLO","VALERO ENERGY CORP","Energie","Aktien","36.044.826,66","0,34","36.044.826,66","268.071,00","134,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LNG","CHENIERE ENERGY INC","Energie","Aktien","33.903.378,24","0,32","33.903.378,24","187.664,00","180,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NXPI","NXP SEMICONDUCTORS NV","IT","Aktien","33.877.204,24","0,32","33.877.204,24","146.098,00","231,88","Vereinigte Staaten","NASDAQ","USD"
"ADSK","AUTODESK INC","IT","Aktien","32.914.357,89","0,31","32.914.357,89","123.141,00","267,29","Vereinigte Staaten","NASDAQ","USD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","32.845.652,32","0,31","32.845.652,32","776.126,00","42,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Aktien","31.766.948,34","0,30","31.766.948,34","133.178,00","238,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Kommunikation","Aktien","31.559.659,94","0,30","31.559.659,94","212.123,00","148,78","Vereinigte Staaten","NASDAQ","USD"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Aktien","30.823.635,78","0,29","30.823.635,78","429.179,00","71,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"URI","UNITED RENTALS INC","Industrie","Aktien","30.347.260,80","0,29","30.347.260,80","38.728,00","783,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WDAY","WORKDAY INC CLASS A","IT","Aktien","30.076.112,57","0,28","30.076.112,57","121.133,00","248,29","Vereinigte Staaten","NASDAQ","USD"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","29.694.206,31","0,28","29.694.206,31","791.573,00","37,51","Niederlande","Euronext Amsterdam","EUR"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrie","Aktien","29.366.496,90","0,28","29.366.496,90","396.309,00","74,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INC","Immobilien","Aktien","29.142.737,70","0,28","29.142.737,70","252.690,00","115,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKR","BAKER HUGHES CLASS A","Energie","Aktien","29.036.166,60","0,27","29.036.166,60","805.665,00","36,04","Vereinigte Staaten","NASDAQ","USD"
"GIVN","GIVAUDAN SA","Materialien","Aktien","28.395.642,05","0,27","28.395.642,05","5.359,00","5.298,68","Schweiz","SIX Swiss Exchange","CHF"
