Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"DOL","DOLLARAMA INC","Zyklische Konsumgüter ","Aktien","15.610.658,77","0,15","15.610.658,77","156.539,00","99,72","Kanada","Toronto Stock Exchange","CAD"
"FTV","FORTIVE CORP","Industrie","Aktien","15.598.323,18","0,15","15.598.323,18","204.327,00","76,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STT","STATE STREET CORP","Financials","Aktien","15.538.564,50","0,15","15.538.564,50","175.577,00","88,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","15.450.763,28","0,15","15.450.763,28","379.264,00","40,74","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DSY","DASSAULT SYSTEMES","IT","Aktien","15.342.876,57","0,15","15.342.876,57","382.368,00","40,13","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"6954","FANUC CORP","Industrie","Aktien","15.200.058,85","0,14","15.200.058,85","553.700,00","27,45","Japan","Tokyo Stock Exchange","JPY"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aktien","15.200.694,18","0,14","15.200.694,18","99.729,00","152,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materialien","Aktien","15.177.576,95","0,14","15.177.576,95","148.465,00","102,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DOV","DOVER CORP","Industrie","Aktien","15.108.229,44","0,14","15.108.229,44","79.887,00","189,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Kommunikation","Aktien","14.980.896,06","0,14","14.980.896,06","481.546,00","31,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHD","CHURCH AND DWIGHT INC","Nichtzyklische Konsumgüter","Aktien","14.665.325,40","0,14","14.665.325,40","141.831,00","103,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrie","Aktien","14.259.322,04","0,14","14.259.322,04","68.482,00","208,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6723","RENESAS ELECTRONICS CORP","IT","Aktien","14.110.132,59","0,13","14.110.132,59","962.000,00","14,67","Japan","Tokyo Stock Exchange","JPY"
"NSIS B","NOVOZYMES B","Materialien","Aktien","14.065.118,45","0,13","14.065.118,45","204.927,00","68,63","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TROW","T ROWE PRICE GROUP INC","Financials","Aktien","14.063.080,85","0,13","14.063.080,85","129.865,00","108,29","Vereinigte Staaten","NASDAQ","USD"
"DSFIR","DSM FIRMENICH AG","Materialien","Aktien","14.032.661,09","0,13","14.032.661,09","108.143,00","129,76","Niederlande","Euronext Amsterdam","EUR"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","13.945.135,13","0,13","13.945.135,13","587.231,00","23,75","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"6762","TDK CORP","IT","Aktien","13.839.443,35","0,13","13.839.443,35","222.100,00","62,31","Japan","Tokyo Stock Exchange","JPY"
"ATO","ATMOS ENERGY CORP","Versorger","Aktien","13.731.244,56","0,13","13.731.244,56","100.551,00","136,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STE","STERIS","Gesundheitsversorgung","Aktien","13.618.292,68","0,13","13.618.292,68","57.466,00","236,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NTR","NUTRIEN LTD","Materialien","Aktien","13.507.666,37","0,13","13.507.666,37","287.104,00","47,05","Kanada","Toronto Stock Exchange","CAD"
"SAMPO","SAMPO CLASS A","Financials","Aktien","13.291.864,78","0,13","13.291.864,78","292.149,00","45,50","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"AUTO","AUTO TRADER GROUP PLC","Kommunikation","Aktien","13.260.930,69","0,13","13.260.930,69","1.141.434,00","11,62","Vereinigtes Königreich","London Stock Exchange","GBP"
"MRK","MERCK","Gesundheitsversorgung","Aktien","13.195.287,77","0,12","13.195.287,77","75.162,00","175,56","Deutschland","Xetra","EUR"
"WST","WEST PHARMACEUTICAL SERVICES INC","Gesundheitsversorgung","Aktien","13.116.404,75","0,12","13.116.404,75","42.565,00","308,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOKIA","NOKIA","IT","Aktien","12.932.536,25","0,12","12.932.536,25","3.046.987,00","4,24","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"K","KELLANOVA","Nichtzyklische Konsumgüter","Aktien","12.844.830,31","0,12","12.844.830,31","158.951,00","80,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6701","NEC CORP","IT","Aktien","12.838.207,50","0,12","12.838.207,50","135.300,00","94,89","Japan","Tokyo Stock Exchange","JPY"
"DECK","DECKERS OUTDOOR CORP","Zyklische Konsumgüter ","Aktien","12.833.152,20","0,12","12.833.152,20","85.140,00","150,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COO","COOPER INC","Gesundheitsversorgung","Aktien","12.768.555,87","0,12","12.768.555,87","115.563,00","110,49","Vereinigte Staaten","NASDAQ","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Gesundheitsversorgung","Aktien","12.690.691,42","0,12","12.690.691,42","119.251,00","106,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4503","ASTELLAS PHARMA INC","Gesundheitsversorgung","Aktien","12.671.976,32","0,12","12.671.976,32","1.053.700,00","12,03","Japan","Tokyo Stock Exchange","JPY"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Aktien","12.577.845,78","0,12","12.577.845,78","846.423,00","14,86","Vereinigte Staaten","NASDAQ","USD"
"8630","SOMPO HOLDINGS INC","Financials","Aktien","12.462.069,44","0,12","12.462.069,44","547.100,00","22,78","Japan","Tokyo Stock Exchange","JPY"
"RF","REGIONS FINANCIAL CORP","Financials","Aktien","12.346.032,19","0,12","12.346.032,19","534.229,00","23,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ILMN","ILLUMINA INC","Gesundheitsversorgung","Aktien","12.251.062,40","0,12","12.251.062,40","93.377,00","131,20","Vereinigte Staaten","NASDAQ","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Nichtzyklische Konsumgüter","Aktien","12.148.159,19","0,12","12.148.159,19","146.381,00","82,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5108","BRIDGESTONE CORP","Zyklische Konsumgüter ","Aktien","12.139.146,33","0,11","12.139.146,33","317.400,00","38,25","Japan","Tokyo Stock Exchange","JPY"
"MOH","MOLINA HEALTHCARE INC","Gesundheitsversorgung","Aktien","11.975.339,34","0,11","11.975.339,34","34.077,00","351,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SYF","SYNCHRONY FINANCIAL","Financials","Aktien","11.964.041,46","0,11","11.964.041,46","236.537,00","50,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EME","EMCOR GROUP INC","Industrie","Aktien","11.927.599,20","0,11","11.927.599,20","27.382,00","435,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FOXA","FOX CORP CLASS A","Kommunikation","Aktien","11.858.411,52","0,11","11.858.411,52","294.912,00","40,21","Vereinigte Staaten","NASDAQ","USD"
"CLX","CLOROX","Nichtzyklische Konsumgüter","Aktien","11.787.036,11","0,11","11.787.036,11","72.167,00","163,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WAT","WATERS CORP","Gesundheitsversorgung","Aktien","11.592.809,20","0,11","11.592.809,20","34.445,00","336,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LII","LENNOX INTERNATIONAL INC","Industrie","Aktien","11.423.871,00","0,11","11.423.871,00","18.650,00","612,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HOLX","HOLOGIC INC","Gesundheitsversorgung","Aktien","11.108.107,20","0,11","11.108.107,20","136.480,00","81,39","Vereinigte Staaten","NASDAQ","USD"
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","10.983.495,02","0,10","10.983.495,02","354.229,00","31,01","Schweden","Nasdaq Omx Nordic","SEK"
"BBY","BEST BUY INC","Zyklische Konsumgüter ","Aktien","10.938.368,70","0,10","10.938.368,70","112.419,00","97,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NTRS","NORTHERN TRUST CORP","Financials","Aktien","10.901.637,50","0,10","10.901.637,50","118.625,00","91,90","Vereinigte Staaten","NASDAQ","USD"
"LH","LABCORP HOLDINGS INC","Gesundheitsversorgung","Aktien","10.868.780,20","0,10","10.868.780,20","48.910,00","222,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DNB","DNB BANK","Financials","Aktien","10.728.861,14","0,10","10.728.861,14","520.790,00","20,60","Norwegen","Oslo Bors Asa","NOK"
"ULTA","ULTA BEAUTY INC","Zyklische Konsumgüter ","Aktien","10.695.074,04","0,10","10.695.074,04","26.604,00","402,01","Vereinigte Staaten","NASDAQ","USD"
"AVTR","AVANTOR INC","Gesundheitsversorgung","Aktien","10.657.514,31","0,10","10.657.514,31","394.869,00","26,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8267","AEON LTD","Nichtzyklische Konsumgüter","Aktien","10.597.536,61","0,10","10.597.536,61","381.900,00","27,75","Japan","Tokyo Stock Exchange","JPY"
"KBC","KBC GROEP","Financials","Aktien","10.548.332,28","0,10","10.548.332,28","133.479,00","79,03","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"APTV","APTIV PLC","Zyklische Konsumgüter ","Aktien","10.540.252,80","0,10","10.540.252,80","150.920,00","69,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WSM","WILLIAMS SONOMA INC","Zyklische Konsumgüter ","Aktien","10.540.956,35","0,10","10.540.956,35","70.835,00","148,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"T","TELUS CORP","Kommunikation","Aktien","10.499.974,22","0,10","10.499.974,22","626.560,00","16,76","Kanada","Toronto Stock Exchange","CAD"
"STLD","STEEL DYNAMICS INC","Materialien","Aktien","10.469.906,59","0,10","10.469.906,59","87.373,00","119,83","Vereinigte Staaten","NASDAQ","USD"
"2802","AJINOMOTO INC","Nichtzyklische Konsumgüter","Aktien","10.357.712,47","0,10","10.357.712,47","274.700,00","37,71","Japan","Tokyo Stock Exchange","JPY"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Aktien","10.328.422,90","0,10","10.328.422,90","3.476.591,00","2,97","Vereinigtes Königreich","London Stock Exchange","GBP"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Aktien","10.322.701,96","0,10","10.322.701,96","22.156,00","465,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrie","Aktien","10.307.456,04","0,10","10.307.456,04","83.678,00","123,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BXB","BRAMBLES LTD","Industrie","Aktien","10.279.037,71","0,10","10.279.037,71","809.561,00","12,70","Australien","Asx - All Markets","AUD"
"COL","COLES GROUP LTD","Nichtzyklische Konsumgüter","Aktien","10.167.099,17","0,10","10.167.099,17","778.664,00","13,06","Australien","Asx - All Markets","AUD"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","10.129.416,75","0,10","10.129.416,75","29.480,00","343,60","Schweiz","SIX Swiss Exchange","CHF"
"TEL","TELENOR","Kommunikation","Aktien","10.073.323,01","0,10","10.073.323,01","785.611,00","12,82","Norwegen","Oslo Bors Asa","NOK"
"TELIA","TELIA COMPANY","Kommunikation","Aktien","9.988.132,54","0,09","9.988.132,54","3.010.013,00","3,32","Schweden","Nasdaq Omx Nordic","SEK"
"JHX","JAMES HARDIE INDUSTRIES CDI PLC","Materialien","Aktien","9.961.123,27","0,09","9.961.123,27","253.286,00","39,33","Australien","Asx - All Markets","AUD"
"ACA","CREDIT AGRICOLE SA","Financials","Aktien","9.920.492,40","0,09","9.920.492,40","615.691,00","16,11","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"QBE","QBE INSURANCE GROUP LTD","Financials","Aktien","9.897.957,27","0,09","9.897.957,27","873.486,00","11,33","Australien","Asx - All Markets","AUD"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","9.862.067,98","0,09","9.862.067,98","73.329,00","134,49","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DGX","QUEST DIAGNOSTICS INC","Gesundheitsversorgung","Aktien","9.847.507,33","0,09","9.847.507,33","64.367,00","152,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SGSN","SGS SA","Industrie","Aktien","9.793.663,92","0,09","9.793.663,92","87.155,00","112,37","Schweiz","SIX Swiss Exchange","CHF"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Nichtzyklische Konsumgüter","Aktien","9.734.530,14","0,09","9.734.530,14","120.046,00","81,09","Niederlande","NASDAQ","USD"
"4689","LY CORP","Kommunikation","Aktien","9.667.321,91","0,09","9.667.321,91","3.410.600,00","2,83","Japan","Tokyo Stock Exchange","JPY"
"PODD","INSULET CORP","Gesundheitsversorgung","Aktien","9.635.903,40","0,09","9.635.903,40","40.730,00","236,58","Vereinigte Staaten","NASDAQ","USD"
"ELISA","ELISA","Kommunikation","Aktien","9.608.956,38","0,09","9.608.956,38","181.467,00","52,95","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"IP","INTERNATIONAL PAPER","Materialien","Aktien","9.317.882,03","0,09","9.317.882,03","191.293,00","48,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9735","SECOM LTD","Industrie","Aktien","9.249.807,87","0,09","9.249.807,87","122.400,00","75,57","Japan","Tokyo Stock Exchange","JPY"
"IEX","IDEX CORP","Industrie","Aktien","9.183.285,08","0,09","9.183.285,08","43.996,00","208,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SUN","SUNCORP GROUP LTD","Financials","Aktien","9.149.923,36","0,09","9.149.923,36","739.629,00","12,37","Australien","Asx - All Markets","AUD"
"PNR","PENTAIR","Industrie","Aktien","9.111.796,80","0,09","9.111.796,80","96.116,00","94,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KRZ","KERRY GROUP PLC","Nichtzyklische Konsumgüter","Aktien","9.003.588,68","0,09","9.003.588,68","90.838,00","99,12","Irland","Irish Stock Exchange - All Market","EUR"
"CAG","CONAGRA BRANDS INC","Nichtzyklische Konsumgüter","Aktien","8.976.654,50","0,09","8.976.654,50","277.915,00","32,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RBA","RB GLOBAL INC","Industrie","Aktien","8.972.961,88","0,08","8.972.961,88","106.405,00","84,33","Kanada","Toronto Stock Exchange","CAD"
"1928","SEKISUI HOUSE LTD","Zyklische Konsumgüter ","Aktien","8.924.778,62","0,08","8.924.778,62","325.600,00","27,41","Japan","Tokyo Stock Exchange","JPY"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Financials","Aktien","8.877.267,09","0,08","8.877.267,09","847.912,00","10,47","Schweden","Nasdaq Omx Nordic","SEK"
"HEN3","HENKEL & KGAA PREF AG","Nichtzyklische Konsumgüter","Aktien","8.865.584,70","0,08","8.865.584,70","98.419,00","90,08","Deutschland","Xetra","EUR"
"OC","OWENS CORNING","Industrie","Aktien","8.812.603,80","0,08","8.812.603,80","50.589,00","174,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","8.550.718,09","0,08","8.550.718,09","739.044,00","11,57","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENPH","ENPHASE ENERGY INC","IT","Aktien","8.543.504,40","0,08","8.543.504,40","74.356,00","114,90","Vereinigte Staaten","NASDAQ","USD"
"8113","UNICHARM CORP","Nichtzyklische Konsumgüter","Aktien","8.332.017,86","0,08","8.332.017,86","235.000,00","35,46","Japan","Tokyo Stock Exchange","JPY"
"GGG","GRACO INC","Industrie","Aktien","8.287.959,02","0,08","8.287.959,02","97.978,00","84,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6326","KUBOTA CORP","Industrie","Aktien","8.239.930,76","0,08","8.239.930,76","582.400,00","14,15","Japan","Tokyo Stock Exchange","JPY"
"BG","BUNGE GLOBAL SA","Nichtzyklische Konsumgüter","Aktien","8.238.932,00","0,08","8.238.932,00","83.390,00","98,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Versorger","Aktien","8.234.975,08","0,08","8.234.975,08","921.250,00","8,94","Italien","Borsa Italiana","EUR"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","8.138.160,20","0,08","8.138.160,20","47.553,00","171,14","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Industrie","Aktien","8.120.423,47","0,08","8.120.423,47","48.047,00","169,01","Vereinigte Staaten","NASDAQ","USD"
"POOL","POOL CORP","Zyklische Konsumgüter ","Aktien","8.107.961,24","0,08","8.107.961,24","22.252,00","364,37","Vereinigte Staaten","NASDAQ","USD"
"ORSTED","OERSTED","Versorger","Aktien","8.049.846,12","0,08","8.049.846,12","123.864,00","64,99","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TEL2 B","TELE2 B","Kommunikation","Aktien","7.894.565,10","0,07","7.894.565,10","684.218,00","11,54","Schweden","Nasdaq Omx Nordic","SEK"
"TRMB","TRIMBLE INC","IT","Aktien","7.833.268,94","0,07","7.833.268,94","133.742,00","58,57","Vereinigte Staaten","NASDAQ","USD"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","7.656.432,50","0,07","7.656.432,50","28.089,00","272,58","Schweiz","SIX Swiss Exchange","CHF"
"MRU","METRO INC","Nichtzyklische Konsumgüter","Aktien","7.560.945,08","0,07","7.560.945,08","123.667,00","61,14","Kanada","Toronto Stock Exchange","CAD"
"H","HYDRO ONE LTD","Versorger","Aktien","7.504.456,17","0,07","7.504.456,17","219.704,00","34,16","Kanada","Toronto Stock Exchange","CAD"
"SGE","SAGE GROUP PLC","IT","Aktien","7.386.474,89","0,07","7.386.474,89","550.138,00","13,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"4307","NOMURA RESEARCH INSTITUTE LTD","IT","Aktien","7.370.142,28","0,07","7.370.142,28","206.100,00","35,76","Japan","Tokyo Stock Exchange","JPY"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","7.364.599,01","0,07","7.364.599,01","85.325,00","86,31","Schweiz","SIX Swiss Exchange","CHF"
"VACN","VAT GROUP AG","Industrie","Aktien","7.332.132,64","0,07","7.332.132,64","15.698,00","467,07","Schweiz","SIX Swiss Exchange","CHF"
"COH","COCHLEAR LTD","Gesundheitsversorgung","Aktien","7.308.818,10","0,07","7.308.818,10","38.082,00","191,92","Australien","Asx - All Markets","AUD"
"NST","NORTHERN STAR RESOURCES LTD","Materialien","Aktien","7.271.079,00","0,07","7.271.079,00","668.102,00","10,88","Australien","Asx - All Markets","AUD"
"DKS","DICKS SPORTING INC","Zyklische Konsumgüter ","Aktien","7.259.683,20","0,07","7.259.683,20","34.160,00","212,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALLE","ALLEGION PLC","Industrie","Aktien","7.145.798,40","0,07","7.145.798,40","50.896,00","140,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHRW","CH ROBINSON WORLDWIDE INC","Industrie","Aktien","7.008.804,60","0,07","7.008.804,60","67.263,00","104,20","Vereinigte Staaten","NASDAQ","USD"
"WTRG","ESSENTIAL UTILITIES INC","Versorger","Aktien","6.997.092,00","0,07","6.997.092,00","184.134,00","38,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6988","NITTO DENKO CORP","Materialien","Aktien","6.954.380,86","0,07","6.954.380,86","82.400,00","84,40","Japan","Tokyo Stock Exchange","JPY"
"KMX","CARMAX INC","Zyklische Konsumgüter ","Aktien","6.944.581,60","0,07","6.944.581,60","91.256,00","76,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNPR","JUNIPER NETWORKS INC","IT","Aktien","6.909.184,60","0,07","6.909.184,60","177.614,00","38,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAER","JULIUS BAER GRUPPE AG","Financials","Aktien","6.844.290,45","0,06","6.844.290,45","119.761,00","57,15","Schweiz","SIX Swiss Exchange","CHF"
"MONC","MONCLER","Zyklische Konsumgüter ","Aktien","6.817.537,00","0,06","6.817.537,00","127.463,00","53,49","Italien","Borsa Italiana","EUR"
"FOX","FOX CORP CLASS B","Kommunikation","Aktien","6.722.814,24","0,06","6.722.814,24","180.333,00","37,28","Vereinigte Staaten","NASDAQ","USD"
"TFX","TELEFLEX INC","Gesundheitsversorgung","Aktien","6.636.012,50","0,06","6.636.012,50","27.365,00","242,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SRG","SNAM","Versorger","Aktien","6.627.275,26","0,06","6.627.275,26","1.320.195,00","5,02","Italien","Borsa Italiana","EUR"
"2388","BOC HONG KONG HOLDINGS LTD","Financials","Aktien","6.617.587,59","0,06","6.617.587,59","2.148.000,00","3,08","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"AKZA","AKZO NOBEL NV","Materialien","Aktien","6.442.838,92","0,06","6.442.838,92","99.176,00","64,96","Niederlande","Euronext Amsterdam","EUR"
"WRT1V","WARTSILA","Industrie","Aktien","6.426.871,71","0,06","6.426.871,71","292.328,00","21,99","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SVT","SEVERN TRENT PLC","Versorger","Aktien","6.356.436,49","0,06","6.356.436,49","181.643,00","34,99","Vereinigtes Königreich","London Stock Exchange","GBP"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","Industrie","Aktien","6.345.061,58","0,06","6.345.061,58","73.294,00","86,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NESTE","NESTE","Energie","Aktien","6.306.514,21","0,06","6.306.514,21","338.494,00","18,63","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ITRK","INTERTEK GROUP PLC","Industrie","Aktien","6.229.749,75","0,06","6.229.749,75","93.818,00","66,40","Vereinigtes Königreich","London Stock Exchange","GBP"
"UU.","UNITED UTILITIES GROUP PLC","Versorger","Aktien","6.222.303,83","0,06","6.222.303,83","446.431,00","13,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"LKQ","LKQ CORP","Zyklische Konsumgüter ","Aktien","6.188.106,64","0,06","6.188.106,64","154.664,00","40,01","Vereinigte Staaten","NASDAQ","USD"
"DINO","HF SINCLAIR CORP","Energie","Aktien","6.149.076,25","0,06","6.149.076,25","132.953,00","46,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Financials","Aktien","6.073.031,52","0,06","6.073.031,52","290.854,00","20,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FBK","FINECOBANK BANCA FINECO","Financials","Aktien","6.063.473,53","0,06","6.063.473,53","355.074,00","17,08","Italien","Borsa Italiana","EUR"
"SOLV","SOLVENTUM CORP","Gesundheitsversorgung","Aktien","5.967.644,35","0,06","5.967.644,35","85.313,00","69,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4523","EISAI LTD","Gesundheitsversorgung","Aktien","5.887.031,54","0,06","5.887.031,54","147.800,00","39,83","Japan","Tokyo Stock Exchange","JPY"
"ABF","ASSOCIATED BRITISH FOODS PLC","Nichtzyklische Konsumgüter","Aktien","5.843.835,97","0,06","5.843.835,97","196.706,00","29,71","Vereinigtes Königreich","London Stock Exchange","GBP"
"4755","RAKUTEN GROUP INC","Zyklische Konsumgüter ","Aktien","5.838.988,75","0,06","5.838.988,75","868.900,00","6,72","Japan","Tokyo Stock Exchange","JPY"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","5.704.318,50","0,05","5.704.318,50","123.176,00","46,31","Spanien","Bolsa De Madrid","EUR"
"6869","SYSMEX CORP","Gesundheitsversorgung","Aktien","5.698.655,10","0,05","5.698.655,10","291.100,00","19,58","Japan","Tokyo Stock Exchange","JPY"
"KEY","KEYERA CORP","Energie","Aktien","5.682.729,03","0,05","5.682.729,03","187.840,00","30,25","Kanada","Toronto Stock Exchange","CAD"
"ADM","ADMIRAL GROUP PLC","Financials","Aktien","5.676.534,58","0,05","5.676.534,58","151.304,00","37,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"MKTX","MARKETAXESS HOLDINGS INC","Financials","Aktien","5.664.570,86","0,05","5.664.570,86","22.018,00","257,27","Vereinigte Staaten","NASDAQ","USD"
"WN","GEORGE WESTON LTD","Nichtzyklische Konsumgüter","Aktien","5.657.277,83","0,05","5.657.277,83","34.984,00","161,71","Kanada","Toronto Stock Exchange","CAD"
"8601","DAIWA SECURITIES GROUP INC","Financials","Aktien","5.590.576,73","0,05","5.590.576,73","775.300,00","7,21","Japan","Tokyo Stock Exchange","JPY"
"HRL","HORMEL FOODS CORP","Nichtzyklische Konsumgüter","Aktien","5.562.100,98","0,05","5.562.100,98","175.074,00","31,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LW","LAMB WESTON HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","5.492.837,28","0,05","5.492.837,28","83.937,00","65,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNH","CNH INDUSTRIAL N.V. NV","Industrie","Aktien","5.486.478,00","0,05","5.486.478,00","506.600,00","10,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALLY","ALLY FINANCIAL INC","Financials","Aktien","5.483.044,08","0,05","5.483.044,08","159.021,00","34,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3407","ASAHI KASEI CORP","Materialien","Aktien","5.401.355,28","0,05","5.401.355,28","731.500,00","7,38","Japan","Tokyo Stock Exchange","JPY"
"11","HANG SENG BANK LTD","Financials","Aktien","5.396.589,28","0,05","5.396.589,28","444.400,00","12,14","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BDEV","BARRATT DEVELOPMENTS","Zyklische Konsumgüter ","Aktien","5.347.695,47","0,05","5.347.695,47","805.829,00","6,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"HSIC","HENRY SCHEIN INC","Gesundheitsversorgung","Aktien","5.314.193,50","0,05","5.314.193,50","74.690,00","71,15","Vereinigte Staaten","NASDAQ","USD"
"TTC","TORO","Industrie","Aktien","5.153.430,00","0,05","5.153.430,00","60.700,00","84,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DVA","DAVITA INC","Gesundheitsversorgung","Aktien","5.114.504,00","0,05","5.114.504,00","31.186,00","164,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4188","MITSUBISHI CHEMICAL GROUP CORP","Materialien","Aktien","5.087.877,87","0,05","5.087.877,87","788.400,00","6,45","Japan","Tokyo Stock Exchange","JPY"
"C38U","CAPITALAND INTEGRATED COMMERCIAL T","Immobilien","Aktien","5.084.458,36","0,05","5.084.458,36","3.131.300,00","1,62","Singapur","Singapore Exchange","SGD"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Financials","Aktien","5.078.312,60","0,05","5.078.312,60","296.320,00","17,14","Italien","Borsa Italiana","EUR"
