Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"OKE","ONEOK INC","Energie","Aktien","7.942.438,37","0,79","7.942.438,37","84.521,00","93,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","7.426.891,20","0,74","7.426.891,20","539.800,00","13,76","Vereinigtes Königreich","London Stock Exchange","GBP"
"9433","KDDI CORP","Kommunikation","Aktien","7.194.275,63","0,71","7.194.275,63","216.300,00","33,26","Japan","Tokyo Stock Exchange","JPY"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrie","Aktien","7.176.362,70","0,71","7.176.362,70","96.847,00","74,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7267","HONDA MOTOR LTD","Zyklische Konsumgüter ","Aktien","7.010.096,24","0,70","7.010.096,24","650.500,00","10,78","Japan","Tokyo Stock Exchange","JPY"
"KMB","KIMBERLY CLARK CORP","Nichtzyklische Konsumgüter","Aktien","6.884.927,00","0,68","6.884.927,00","48.916,00","140,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","6.712.521,34","0,67","6.712.521,34","93.453,00","71,83","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TEL","TE CONNECTIVITY LTD","IT","Aktien","6.656.063,40","0,66","6.656.063,40","44.940,00","148,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KMI","KINDER MORGAN INC","Energie","Aktien","6.262.990,75","0,62","6.262.990,75","287.425,00","21,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","Industrie","Aktien","6.261.221,10","0,62","6.261.221,10","46.985,00","133,26","Vereinigte Staaten","NASDAQ","USD"
"GIS","GENERAL MILLS INC","Nichtzyklische Konsumgüter","Aktien","6.106.765,09","0,61","6.106.765,09","81.959,00","74,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","6.093.432,45","0,60","6.093.432,45","101.645,00","59,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"DHL","DEUTSCHE POST AG","Industrie","Aktien","6.073.254,86","0,60","6.073.254,86","143.845,00","42,22","Deutschland","Xetra","EUR"
"CMI","CUMMINS INC","Industrie","Aktien","6.065.238,48","0,60","6.065.238,48","19.677,00","308,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SREN","SWISS RE AG","Financials","Aktien","5.936.168,63","0,59","5.936.168,63","43.406,00","136,76","Schweiz","SIX Swiss Exchange","CHF"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","5.909.961,52","0,59","5.909.961,52","230.545,00","25,63","Schweden","Nasdaq Omx Nordic","SEK"
"9434","SOFTBANK CORP","Kommunikation","Aktien","5.631.589,30","0,56","5.631.589,30","410.600,00","13,72","Japan","Tokyo Stock Exchange","JPY"
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","5.353.272,96","0,53","5.353.272,96","27.789,00","192,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GLW","CORNING INC","IT","Aktien","5.219.227,00","0,52","5.219.227,00","117.286,00","44,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6702","FUJITSU LTD","IT","Aktien","5.116.325,68","0,51","5.116.325,68","254.600,00","20,10","Japan","Tokyo Stock Exchange","JPY"
