Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"4768","OTSUKA CORP","IT","Aktien","801.403,40","0,08","801.403,40","33.100,00","24,21","Japan","Tokyo Stock Exchange","JPY"
"KESKOB","KESKO CLASS B","Nichtzyklische Konsumgüter","Aktien","798.593,74","0,08","798.593,74","39.270,00","20,34","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"VOLV A","VOLVO CLASS A","Industrie","Aktien","763.877,54","0,08","763.877,54","29.494,00","25,90","Schweden","Nasdaq Omx Nordic","SEK"
"RAND","RANDSTAD HOLDING","Industrie","Aktien","752.058,90","0,07","752.058,90","15.339,00","49,03","Niederlande","Euronext Amsterdam","EUR"
"3626","TIS INC","IT","Aktien","745.778,38","0,07","745.778,38","30.300,00","24,61","Japan","Tokyo Stock Exchange","JPY"
"4528","ONO PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","734.228,20","0,07","734.228,20","53.900,00","13,62","Japan","Tokyo Stock Exchange","JPY"
"6823","HKT TRUST AND HKT UNITS LTD","Kommunikation","Aktien","707.046,72","0,07","707.046,72","540.000,00","1,31","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"GBP","GBP CASH","Cash und/oder Derivate","Geldmarkt","705.374,98","0,07","705.374,98","531.136,00","132,81","Vereinigtes Königreich","-","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","704.557,96","0,07","704.557,96","1.297,00","543,22","Deutschland","Xetra","EUR"
"MAERSK A","A P MOLLER MAERSK","Industrie","Aktien","701.150,39","0,07","701.150,39","453,00","1.547,79","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"AMUN","AMUNDI SA","Financials","Aktien","690.999,16","0,07","690.999,16","9.086,00","76,05","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"12","HENDERSON LAND DEVELOPMENT LTD","Immobilien","Aktien","686.058,68","0,07","686.058,68","210.000,00","3,27","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"6448","BROTHER INDUSTRIES LTD","IT","Aktien","663.035,97","0,07","663.035,97","34.300,00","19,33","Japan","Tokyo Stock Exchange","JPY"
"TEMN","TEMENOS AG","IT","Aktien","643.376,88","0,06","643.376,88","9.417,00","68,32","Schweiz","SIX Swiss Exchange","CHF"
"FDJ","LA FRANCAISE DES JEUX SA","Zyklische Konsumgüter ","Aktien","643.270,95","0,06","643.270,95","15.256,00","42,17","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BMW3","BMW PREF AG","Zyklische Konsumgüter ","Aktien","636.445,82","0,06","636.445,82","8.230,00","77,33","Deutschland","Xetra","EUR"
"AUD","AUD CASH","Cash und/oder Derivate","Geldmarkt","584.591,47","0,06","584.591,47","860.516,00","67,93","Australien","-","AUD"
"83","SINO LAND LTD","Immobilien","Aktien","569.051,94","0,06","569.051,94","550.000,00","1,03","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SPK","SPARK NEW ZEALAND LTD","Kommunikation","Aktien","552.748,26","0,05","552.748,26","270.912,00","2,04","Neuseeland","New Zealand Exchange Ltd","NZD"
"3436","SUMCO CORP","IT","Aktien","537.559,46","0,05","537.559,46","51.900,00","10,36","Japan","Tokyo Stock Exchange","JPY"
"GJF","GJENSIDIGE FORSIKRING","Financials","Aktien","528.444,72","0,05","528.444,72","28.993,00","18,23","Norwegen","Oslo Bors Asa","NOK"
"6963","ROHM LTD","IT","Aktien","517.472,91","0,05","517.472,91","47.200,00","10,96","Japan","Tokyo Stock Exchange","JPY"
"SDR","SCHRODERS PLC","Financials","Aktien","503.628,49","0,05","503.628,49","111.340,00","4,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"9143","SG HOLDINGS LTD","Industrie","Aktien","499.508,43","0,05","499.508,43","46.100,00","10,84","Japan","Tokyo Stock Exchange","JPY"
"1308","SITC INTERNATIONAL HOLDINGS LTD","Industrie","Aktien","477.156,41","0,05","477.156,41","192.000,00","2,49","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash und/oder Derivate","Cash Collateral and Margins","237.000,00","0,02","237.000,00","237.000,00","100,00","Vereinigte Staaten","-","USD"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","168.942,29","0,02","168.942,29","151.613,00","111,43","Europäische Union","-","EUR"
"CAD","CAD CASH","Cash und/oder Derivate","Geldmarkt","97.428,75","0,01","97.428,75","132.264,00","73,66","Kanada","-","CAD"
"HKD","HKD CASH","Cash und/oder Derivate","Geldmarkt","94.802,23","0,01","94.802,23","738.524,00","12,84","Hongkong","-","HKD"
"CHF","CHF CASH","Cash und/oder Derivate","Geldmarkt","89.748,86","0,01","89.748,86","76.322,00","117,59","Schweiz","-","CHF"
"JPY","JPY CASH","Cash und/oder Derivate","Geldmarkt","87.816,44","0,01","87.816,44","12.683.767,00","0,69","Japan","-","JPY"
"DKK","DKK CASH","Cash und/oder Derivate","Geldmarkt","79.262,09","0,01","79.262,09","530.533,00","14,94","Dänemark","-","DKK"
"NOK","NOK CASH","Cash und/oder Derivate","Geldmarkt","70.290,20","0,01","70.290,20","740.054,00","9,50","Norwegen","-","NOK"
"SGD","SGD CASH","Cash und/oder Derivate","Geldmarkt","69.477,33","0,01","69.477,33","89.855,00","77,32","Singapur","-","SGD"
"ILS","ILS CASH","Cash und/oder Derivate","Geldmarkt","47.204,86","0,00","47.204,86","178.489,00","26,45","Israel","-","ILS"
"NZD","NZD CASH","Cash und/oder Derivate","Geldmarkt","42.943,77","0,00","42.943,77","69.036,00","62,20","Neuseeland","-","NZD"
"SEK","SEK CASH","Cash und/oder Derivate","Geldmarkt","6.252,41","0,00","6.252,41","63.781,00","9,80","Schweden","-","SEK"
"MARGIN_EUR","FUTURES EUR MARGIN BALANCE","Cash und/oder Derivate","Cash Collateral and Margins","0,09","0,00","0,09","0,00","111,43","Europäische Union","-","EUR"
"GBP","GBP/USD","Cash und/oder Derivate","FX","42,82","0,00","42,82","-62.967,00","1,00","Vereinigte Staaten","-","USD"
"MFSZ4","MSCI EAFE INDEX DEC 24","Cash und/oder Derivate","Futures","0,00","0,00","3.550.760,00","29,00","2.448,80","-","Ice Futures U.S.","USD"
"ESZ4","S&P500 EMINI DEC 24","Cash und/oder Derivate","Futures","0,00","0,00","2.304.800,00","8,00","5.762,00","-","Index And Options Market","USD"
 
